original	gatherings	width	height	obl	n
27 x 25 cm.	NA	NA	NA	NA	3
28 x 15 cm.	NA	NA	NA	NA	3
28 x 17 cm.	NA	NA	NA	NA	3
28 x 18 cm.	NA	NA	NA	NA	3
29 x 17 cm. 1/2⁰.	NA	NA	NA	NA	3
31 x 10 cm.	NA	NA	NA	NA	3
31 x 16 cm.	NA	NA	NA	NA	3
32 x 24 cm.	NA	NA	NA	NA	3
33 x 25 cm.	NA	NA	NA	NA	3
34 x 14 cm.	NA	NA	NA	NA	3
34 x 18 cm.	NA	NA	NA	NA	3
34 x 24 cm.	NA	NA	NA	NA	3
34 x 41 cm.	NA	NA	NA	NA	3
35 x 17 cm.	NA	NA	NA	NA	3
35 x 25 cm.	NA	NA	NA	NA	3
36 x 26 cm.	NA	NA	NA	NA	3
36 x 27 cm.	NA	NA	NA	NA	3
36 x 28 cm.	NA	NA	NA	NA	3
36 x 29 cm.	NA	NA	NA	NA	3
36 x 30 cm.	NA	NA	NA	NA	3
37 x 13 cm.	NA	NA	NA	NA	3
37 x 15 cm.	NA	NA	NA	NA	3
37 x 30 cm.	NA	NA	NA	NA	3
38 x 16 cm.	NA	NA	NA	NA	3
38 x 21 cm.	NA	NA	NA	NA	3
39 x 17 cm.	NA	NA	NA	NA	3
4 D0.	NA	NA	NA	0	3
40 x 28 cm.	NA	NA	NA	NA	3
40 x 30 cm.	NA	NA	NA	NA	3
4⁰; 2⁰.	NA	NA	NA	0	3
4⁰⁸.⁴.	NA	NA	NA	0	3
41 x 24 cm.	NA	NA	NA	NA	3
42 x 17 cm.	NA	NA	NA	NA	3
42 x 23 cm.	NA	NA	NA	NA	3
44 x 33 cm.	NA	NA	NA	NA	3
44 x 34 cm.	NA	NA	NA	NA	3
45 x 21 cm.	NA	NA	NA	NA	3
45 x 25 cm.	NA	NA	NA	NA	3
45 x 26 cm.	NA	NA	NA	NA	3
45 x 29 cm.	NA	NA	NA	NA	3
45 x 35 cm.	NA	NA	NA	NA	3
47 x 28 cm.	NA	NA	NA	NA	3
47 x 35 cm.	NA	NA	NA	NA	3
48 x 38 cm.	NA	NA	NA	NA	3
48 x 39 cm.	NA	NA	NA	NA	3
49 x 30 cm.	NA	NA	NA	NA	3
49 x 38 cm.	NA	NA	NA	NA	3
50 x 19 cm.	NA	NA	NA	NA	3
50 x 38 cm.	NA	NA	NA	NA	3
52 x 39 cm.	NA	NA	NA	NA	3
52 x 40 cm.	NA	NA	NA	NA	3
53 x 40 cm.	NA	NA	NA	NA	3
53 x 42 cm.	NA	NA	NA	NA	3
53 x 44 cm.	NA	NA	NA	NA	3
55 x 43 cm.	NA	NA	NA	NA	3
59 x 47 cm.	NA	NA	NA	NA	3
7 x 13 cm.	NA	NA	NA	NA	3
8.̥	NA	NA	NA	0	3
82⁰.	NA	NA	NA	0	3
84⁰.	NA	NA	NA	0	3
obl. 10⁰.	NA	NA	NA	1	3
vertical slip.	NA	NA	NA	0	3
?.	NA	NA	NA	0	2
.	NA	NA	NA	0	2
(1/4&quot;)	NA	NA	NA	0	2
(4to and 8vo)	NA	NA	NA	0	2
[fewer than 50 pages]	NA	NA	NA	0	2
/1/2⁰.	NA	NA	NA	0	2
/2⁰.	NA	NA	NA	0	2
1/2⁰ (33 x 21 cm)	NA	NA	NA	NA	2
1/2⁰ (34 x 20 cm)	NA	NA	NA	NA	2
1\2⁰.	NA	NA	NA	0	2
10 x 13 cm.	NA	NA	NA	NA	2
10 x 17 cm.	NA	NA	NA	NA	2
10 x 24 cm.	NA	NA	NA	NA	2
11 x 13 cm.	NA	NA	NA	NA	2
11 x 17 cm.	NA	NA	NA	NA	2
12 x 14 cm.	NA	NA	NA	NA	2
12 x 17 cm.	NA	NA	NA	NA	2
12 x 21 cm.	NA	NA	NA	NA	2
12 x 23 cm.	NA	NA	NA	NA	2
128⁰? in 8's.	NA	NA	NA	0	2
12�.	NA	NA	NA	0	2
13 x 26 cm.	NA	NA	NA	NA	2
14 x 15 cm.	NA	NA	NA	NA	2
14 x 21 cm.	NA	NA	NA	NA	2
14 x 22 cm.	NA	NA	NA	NA	2
14 x 27 cm.	NA	NA	NA	NA	2
15 x 11 cm.	NA	NA	NA	NA	2
15 x 21 cm.	NA	NA	NA	NA	2
15 x 22 cm.	NA	NA	NA	NA	2
15 x 24 cm.	NA	NA	NA	NA	2
15 x 9 cm.	NA	NA	NA	NA	2
16 x 21 cm.	NA	NA	NA	NA	2
16$.	NA	NA	NA	0	2
17 x 10 cm.	NA	NA	NA	NA	2
17 x 24 cm.	NA	NA	NA	NA	2
17 x 8 cm.	NA	NA	NA	NA	2
