original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	n	n_cum	f	f_cum
obl. 1/18⁰? (7 x 10 cm)	18mo	NA	NA	TRUE	18mo	16	10	1	160	1	481333	0	100
obl. 1/2.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481334	0	100
Obl. 1/2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481335	0	100
obl. 1/24⁰.	24mo	NA	NA	TRUE	24mo	12.5	8.5	1	106.25	1	481336	0	100
obl. 1/4⁰ and 1/4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	1	481337	0	100
obl. 1/6⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481338	0	100
obl. 1/8.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481339	0	100
Obl. 1/8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	1	481340	0	100
obl. 2⁰ and 4⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481341	0	100
obl. 32⁰.	32mo	NA	NA	TRUE	32mo	12	7	1	84	1	481342	0	100
obl. 4	4to	NA	NA	TRUE	4to	28	22	1	616	1	481343	0	100
obl. 4 D}0.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481344	0	100
obl. 4⁰ and 4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	1	481345	0	100
obl. 8	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481346	0	100
obl. 8⁰	8vo	NA	NA	TRUE	8vo	19	13	1	247	1	481347	0	100
obl. 8⁰ in 4's.	8vo	NA	NA	TRUE	8vo	19	13	1	247	1	481348	0	100
obl. 8⁰?	8vo	NA	NA	TRUE	8vo	19	13	1	247	1	481349	0	100
obl. c1/2⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481350	0	100
obl.1.̊	1to	NA	NA	TRUE	2fo	45	30	1	1350	1	481351	0	100
obl.1/2 sheets.	1to	NA	NA	TRUE	2fo	45	30	1	1350	1	481352	0	100
obl.1/2.̊	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481353	0	100
obl.1/24⁰.	24mo	NA	NA	TRUE	24mo	12.5	8.5	1	106.25	1	481354	0	100
Obl.1⁰.	1to	NA	NA	TRUE	2fo	45	30	1	1350	1	481355	0	100
obl.16⁰?.	16mo	NA	NA	TRUE	16mo	15	12	1	180	1	481356	0	100
obl.18⁰.	18mo	NA	NA	TRUE	18mo	16	10	1	160	1	481357	0	100
obl.2⁰	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481358	0	100
obl.2⁰ and 8⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481359	0	100
Obl.2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481360	0	100
obl.fol(13?).	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481361	0	100
obl/2⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481362	0	100
obl1/2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481363	0	100
obl8	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481364	0	100
oblfol [fewer than 50 pages]	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481365	0	100
oblong 1/24⁰.	24mo	NA	NA	TRUE	24mo	12.5	8.5	1	106.25	1	481366	0	100
oblong 1⁰.	1to	NA	NA	TRUE	2fo	45	30	1	1350	1	481367	0	100
oblong 24⁰.	24mo	NA	NA	TRUE	24mo	12.5	8.5	1	106.25	1	481368	0	100
oblong 4⁰	4to	NA	NA	TRUE	4to	28	22	1	616	1	481369	0	100
oblong 4⁰?	4to	NA	NA	TRUE	4to	28	22	1	616	1	481370	0	100
oblong 4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	1	481371	0	100
oblong 8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	1	481372	0	100
oblsixes [fewer than 50 pages]	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	481373	0	100
s.sh. 8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481374	0	100
s.sh. fol.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481375	0	100
s.sh.fol	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481376	0	100
s.sh.fol.?	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481377	0	100
s.sh.ob.fol.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481378	0	100
sm 2⁰.	2small	NA	NA	FALSE	2small	25	38	0	950	1	481379	0	100
sm. 2⁰	2small	NA	NA	FALSE	2small	25	38	0	950	1	481380	0	100
sm. 2⁰, turned chain lines.	2small	NA	NA	FALSE	2small	25	38	0	950	1	481381	0	100
sm. 4⁰; lge. 4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481382	0	100
sm. 4⁰.	4small	NA	NA	FALSE	4small	17	20	0	340	1	481383	0	100
sm.4⁰.	4small	NA	NA	FALSE	4small	17	20	0	340	1	481384	0	100
small 2⁰.	2small	NA	NA	FALSE	2small	25	38	0	950	1	481385	0	100
small 8⁰.	8small	NA	NA	FALSE	8small	11	17	0	187	1	481386	0	100
x8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481387	0	100
